episode,step,action_index,action_label,reward,loss,done,mission_status,battery_pct,attitude_error,fuel_units,last_action_result
3,5,22,query_power_level:solar_a,0.000000,0.003483,0,degraded,100.000,0.000,50.000,diag: solar_a output=90.0W health=1.00 (panel nominal)
3,6,4,restore_load:science_a,-0.250000,0.001407,0,degraded,100.000,0.000,50.000,science_a already online
3,7,27,diagnostic_scan:attitude,0.050000,0.023721,0,degraded,100.000,0.000,50.000,diag-scan attitude: mode=nominal err=0.00deg rw_deg=0.00 st_fault=False ref=star_tracker
3,8,3,shed_load:transponder,0.250000,0.183383,0,degraded,100.000,0.000,50.000,transponder powered off
3,9,11,reconfigure_power:solar_b,-0.350000,0.000743,0,degraded,100.000,0.000,50.000,solar_b has no active fault to reconfigure
3,10,4,restore_load:science_a,-0.250000,0.000874,0,degraded,100.000,0.000,50.000,science_a already online
3,11,0,shed_load:science_a,0.250000,0.151834,0,degraded,100.000,0.000,50.000,science_a powered off
3,12,15,recalibrate_star_tracker,-0.250000,0.026726,0,degraded,100.000,0.000,50.000,star tracker nominal; recalibration unnecessary
3,13,25,query_thermal,0.000000,0.006263,0,degraded,100.000,0.000,50.000,diag: battery_temp=4.3C heaters=offline thermal_fault=True
3,14,23,query_power_level:solar_b,0.000000,0.076184,0,degraded,100.000,0.000,50.000,diag: solar_b output=90.0W health=1.00 (panel nominal)
3,15,21,query_power_level:battery,0.000000,0.000466,0,degraded,100.000,0.000,50.000,diag: battery_pct=100.0% health=0.67 backup=True pcf=True
3,16,27,diagnostic_scan:attitude,0.050000,0.008079,0,degraded,100.000,0.000,50.000,diag-scan attitude: mode=nominal err=0.00deg rw_deg=0.00 st_fault=False ref=star_tracker
3,17,22,query_power_level:solar_a,0.000000,0.004137,0,degraded,100.000,0.000,50.000,diag: solar_a output=90.0W health=1.00 (panel nominal)
3,18,3,shed_load:transponder,-0.700000,0.157109,0,critical,100.000,0.000,50.000,transponder already offline
3,19,27,diagnostic_scan:attitude,-0.400000,0.055412,0,critical,100.000,0.000,50.000,diag-scan attitude: mode=nominal err=0.00deg rw_deg=0.00 st_fault=False ref=star_tracker
3,20,25,query_thermal,-0.450000,0.075729,0,critical,100.000,0.000,50.000,diag: battery_temp=-1.3C heaters=offline thermal_fault=True
3,21,2,shed_load:heaters,-0.700000,0.070600,0,critical,100.000,0.000,50.000,heaters already offline
3,22,3,shed_load:transponder,-0.700000,0.050400,0,critical,100.000,0.000,50.000,transponder already offline
3,23,1,shed_load:science_b,-0.200000,0.043287,0,critical,100.000,0.000,50.000,science_b powered off
3,24,29,safe_mode,0.000000,0.006374,0,critical,100.000,0.000,50.000,safe mode engaged; non-essentials shed
3,25,15,recalibrate_star_tracker,-0.700000,0.159922,0,critical,100.000,0.000,50.000,star tracker nominal; recalibration unnecessary
3,26,7,restore_load:transponder,-0.400000,0.028468,0,critical,100.000,0.000,50.000,transponder restored
3,27,12,stabilize_attitude,-0.200000,0.015698,0,critical,100.000,0.000,48.000,attitude stabilization burn; pointing error 0.00deg
3,28,24,query_attitude,-0.450000,0.027543,0,critical,100.000,0.000,48.000,diag: mode=nominal err=0.00deg rw=nominal ref=star_tracker st_bias=0.0 gyro_bias=0.0
3,29,21,query_power_level:battery,-0.450000,0.095514,0,critical,100.000,0.000,48.000,diag: battery_pct=100.0% health=0.56 backup=True pcf=True
3,30,16,cross_validate_attitude,-0.500000,0.340447,0,critical,100.000,0.000,48.000,diag: ST=0.00deg GY=0.00deg SUN=0.00deg disagree=0.00
3,31,10,reconfigure_power:solar_a,-0.800000,0.094672,0,critical,100.000,0.000,48.000,solar_a has no active fault to reconfigure
3,32,25,query_thermal,-0.450000,0.041255,0,critical,100.000,0.000,48.000,diag: battery_temp=-10.9C heaters=offline thermal_fault=True
3,33,18,switch_attitude_reference:gyro,-0.500000,0.055692,0,critical,100.000,0.000,48.000,attitude reference set to gyro
3,34,27,diagnostic_scan:attitude,-0.400000,0.032554,0,critical,100.000,0.000,48.000,diag-scan attitude: mode=nominal err=0.00deg rw_deg=0.00 st_fault=False ref=gyro
3,35,22,query_power_level:solar_a,-0.450000,0.081118,0,critical,100.000,0.000,48.000,diag: solar_a output=90.0W health=1.00 (panel nominal)
3,36,28,diagnostic_scan:comms,-0.400000,0.012995,0,critical,100.000,0.000,48.000,diag-scan comms: transponder=online signal=25.0dB comms_fault=False pending_cycle=True
3,37,11,reconfigure_power:solar_b,-0.800000,0.119183,0,critical,100.000,0.000,48.000,solar_b has no active fault to reconfigure
3,38,29,safe_mode,0.000000,0.000207,0,critical,100.000,0.000,48.000,safe mode engaged; non-essentials shed
3,39,1,shed_load:science_b,-0.700000,0.059733,0,critical,100.000,0.000,48.000,science_b already offline
3,40,27,diagnostic_scan:attitude,-0.400000,0.017956,0,critical,100.000,0.000,48.000,diag-scan attitude: mode=nominal err=0.00deg rw_deg=0.00 st_fault=False ref=gyro
3,41,15,recalibrate_star_tracker,-0.700000,0.078211,0,critical,100.000,0.000,48.000,star tracker nominal; recalibration unnecessary
3,42,28,diagnostic_scan:comms,-0.400000,0.018037,0,critical,100.000,0.000,48.000,diag-scan comms: transponder=offline signal=0.0dB comms_fault=False pending_cycle=True
3,43,0,shed_load:science_a,-0.700000,0.190919,0,critical,100.000,0.000,48.000,science_a already offline
3,44,10,reconfigure_power:solar_a,-0.800000,0.054817,0,critical,100.000,0.000,48.000,solar_a has no active fault to reconfigure
3,45,18,switch_attitude_reference:gyro,-0.500000,0.036047,0,critical,100.000,0.000,48.000,attitude reference set to gyro
3,46,26,diagnostic_scan:power,-0.400000,0.061864,0,critical,100.000,0.000,48.000,diag-scan power: bat=100.0% solar=180.0W load=40.0W net=positive pcf=True
3,47,5,restore_load:science_b,-0.400000,0.044237,0,critical,100.000,0.000,48.000,science_b restored
3,48,12,stabilize_attitude,-0.200000,0.017327,0,critical,100.000,0.000,46.000,attitude stabilization burn; pointing error 0.00deg
3,49,30,resume_nominal,-1.000000,0.367775,0,critical,100.000,0.000,46.000,refused: 2 unresolved fault(s) — resolve before resuming nominal
3,50,0,shed_load:science_a,-5.700000,15.211286,1,lost,100.000,0.000,46.000,science_a already offline
